type,month,benchmark,price_index,area
Residential  - all types,2016-08-01,933100,244.2,Greater Vancouver
Residential  - all types,2016-08-01,797900,173.0,Bowen Island
Residential  - all types,2016-08-01,869500,240.0,Burnaby East
Residential  - all types,2016-08-01,780200,234.5,Burnaby North
Residential  - all types,2016-08-01,867500,245.2,Burnaby South
Residential  - all types,2016-08-01,781800,232.0,Coquitlam
Residential  - all types,2016-08-01,833300,231.6,Ladner
Residential  - all types,2016-08-01,831900,234.6,Lower Mainland
Residential  - all types,2016-08-01,573600,193.8,Maple Ridge
Residential  - all types,2016-08-01,536500,228.5,New Westminster
Residential  - all types,2016-08-01,1026500,231.6,North Vancouver
Residential  - all types,2016-08-01,555300,203.1,Pitt Meadows
Residential  - all types,2016-08-01,603100,213.7,Port Coquitlam
Residential  - all types,2016-08-01,776600,214.7,Port Moody
Residential  - all types,2016-08-01,883500,256.0,Richmond
Residential  - all types,2016-08-01,623100,203.1,Squamish
Residential  - all types,2016-08-01,477500,167.3,Sunshine Coast
Residential  - all types,2016-08-01,969300,242.8,Tsawwassen
Residential  - all types,2016-08-01,991800,290.5,Vancouver East
Residential  - all types,2016-08-01,1252700,264.0,Vancouver West
Residential  - all types,2016-08-01,2774000,297.7,West Vancouver
Residential  - all types,2016-08-01,710200,165.0,Whistler
Detached,2016-08-01,1577300,290.9,Greater Vancouver
Detached,2016-08-01,797900,173.0,Bowen Island
Detached,2016-08-01,1260700,281.9,Burnaby East
Detached,2016-08-01,1596800,308.8,Burnaby North
Detached,2016-08-01,1700400,325.5,Burnaby South
Detached,2016-08-01,1228600,272.6,Coquitlam
Detached,2016-08-01,1031200,248.6,Ladner
Detached,2016-08-01,1264100,268.5,Lower Mainland
Detached,2016-08-01,712500,203.0,Maple Ridge
Detached,2016-08-01,1104100,273.9,New Westminster
Detached,2016-08-01,1689900,269.0,North Vancouver
Detached,2016-08-01,784000,220.9,Pitt Meadows
Detached,2016-08-01,907300,242.0,Port Coquitlam
Detached,2016-08-01,1394400,257.5,Port Moody
Detached,2016-08-01,1704200,341.8,Richmond
Detached,2016-08-01,800000,212.7,Squamish
Detached,2016-08-01,475500,166.6,Sunshine Coast
Detached,2016-08-01,1247400,268.6,Tsawwassen
Detached,2016-08-01,1533600,339.0,Vancouver East
Detached,2016-08-01,3617400,371.4,Vancouver West
Detached,2016-08-01,3359400,319.4,West Vancouver
Detached,2016-08-01,1322700,183.1,Whistler
Townhouse,2016-08-01,677600,219.0,Greater Vancouver
Townhouse,2016-08-01,511300,183.4,Burnaby East
Townhouse,2016-08-01,514100,191.7,Burnaby North
Townhouse,2016-08-01,562100,201.7,Burnaby South
Townhouse,2016-08-01,516600,189.8,Coquitlam
Townhouse,2016-08-01,638000,211.4,Ladner
Townhouse,2016-08-01,563100,203.8,Lower Mainland
Townhouse,2016-08-01,408500,198.4,Maple Ridge
Townhouse,2016-08-01,550000,206.6,New Westminster
Townhouse,2016-08-01,900400,215.5,North Vancouver
Townhouse,2016-08-01,479300,207.4,Pitt Meadows
Townhouse,2016-08-01,550100,208.6,Port Coquitlam
Townhouse,2016-08-01,538200,181.9,Port Moody
Townhouse,2016-08-01,732400,236.8,Richmond
Townhouse,2016-08-01,613900,223.0,Squamish
Townhouse,2016-08-01,640900,211.8,Tsawwassen
Townhouse,2016-08-01,785900,259.1,Vancouver East
Townhouse,2016-08-01,1107000,250.4,Vancouver West
Townhouse,2016-08-01,762600,203.9,Whistler
Townhouse,2016-08-01,514300,206.8,Greater Vancouver
Townhouse,2016-08-01,561300,213.1,Burnaby East
Apartment,2016-08-01,514300,206.8,Greater Vancouver
Apartment,2016-08-01,561300,213.1,Burnaby East
Apartment,2016-08-01,468000,197.9,Burnaby North
Apartment,2016-08-01,535100,214.8,Burnaby South
Apartment,2016-08-01,346700,190.8,Coquitlam
Apartment,2016-08-01,397300,188.3,Ladner
Apartment,2016-08-01,462400,201.9,Lower Mainland
Apartment,2016-08-01,200400,144.7,Maple Ridge
Apartment,2016-08-01,375600,213.9,New Westminster
Apartment,2016-08-01,467100,190.1,North Vancouver
Apartment,2016-08-01,299300,176.9,Pitt Meadows
Apartment,2016-08-01,310700,184.2,Port Coquitlam
Apartment,2016-08-01,474700,197.8,Port Moody
Apartment,2016-08-01,440200,185.9,Richmond
Apartment,2016-08-01,354500,170.7,Squamish
Apartment,2016-08-01,411500,173.5,Tsawwassen
Apartment,2016-08-01,439800,242.6,Vancouver East
Apartment,2016-08-01,691900,223.9,Vancouver West
Apartment,2016-08-01,906700,198.1,West Vancouver
Apartment,2016-08-01,375500,123.1,Whistler
Residential  - all types,2016-07-01,930400,243.5,Greater Vancouver
Residential  - all types,2016-07-01,792900,171.9,Bowen Island
Residential  - all types,2016-07-01,858200,236.9,Burnaby East
Residential  - all types,2016-07-01,778900,234.1,Burnaby North
Residential  - all types,2016-07-01,869300,245.7,Burnaby South
Residential  - all types,2016-07-01,778700,231.1,Coquitlam
Residential  - all types,2016-07-01,838300,233.0,Ladner
